Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-C.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
35.58	825.5
35.6	757.25
35.62	748
35.64	680.25
35.66	657
35.68	632.5
35.7	633.75
35.72	618
35.74	607
35.76	581.5
35.78	593.25
35.8	608.75
35.82	618.5
35.84	659
35.86	658.25
35.88	699.75
35.9	757.75
35.92	814.25
35.94	915
35.96	987.25
35.98	1057
36	1105.5
36.02	1185.5
36.04	1218.25
36.06	1212
36.08	1164.25
36.1	1164.5
36.12	1098.25
36.14	1036.5
36.16	947.5
36.18	867.25
36.2	822.25
36.22	795.25
36.24	741.75
36.26	690
36.28	689.25
36.3	655.25
36.32	652.25
36.34	618
36.36	627.75
36.38	655
36.4	648.5
36.42	664
36.44	705.75
36.46	731
36.48	769.75
36.5	828.75
36.52	881
36.54	887.75
36.56	928.5
36.58	928
36.6	921.75
36.62	879
36.64	830
36.66	830.25
36.68	741
36.7	727.25
36.72	716.25
36.74	686.75
36.76	662.75
36.78	636.5
36.8	616.25
36.82	614.75
36.84	617.5
36.86	608
36.88	615
36.9	596
36.92	601.75
36.94	593
36.96	594.75
36.98	574.5
37	594.75
37.02	588
37.04	606.75
37.06	597.25
37.08	574.75
37.1	540.75
37.12	557
37.14	562.25
37.16	590.75
37.18	578.75
37.2	584.25
37.22	569.25
37.24	603
37.26	589
37.28	581.5
37.3	597.5
37.32	598
37.34	610
37.36	610.75
37.38	613.25
37.4	628.5
37.42	598
37.44	618.5
37.46	610.75
37.48	610.5
37.5	630.25
37.52	616
37.54	608.25
37.56	621.5
37.58	602.5
37.6	637.25
37.62	612.25
37.64	615.5
37.66	626.5
37.68	625
37.7	623
37.72	618
37.74	636.5
37.76	619
37.78	628
37.8	600.75
37.82	621
37.84	616.5
37.86	591
37.88	592.5
37.9	568.5
37.92	538.75
37.94	573.5
37.96	560.5
37.98	545
38	562.75
38.02	547.25
38.04	552.75
38.06	538.5
38.08	541
38.1	537.75
38.12	584.75
38.14	570.5
38.16	560.5
38.18	558
38.2	570
38.22	551.5
38.24	529
38.26	554
38.28	535.5
38.3	507
38.32	512.25
38.34	490.75
38.36	486.75
38.38	483
38.4	506
38.42	490.75
38.44	491.25
38.46	504.75
38.48	492.25
38.5	465.25
38.52	498.5
38.54	497.5
38.56	490.25
38.58	488
38.6	499.25
38.62	485.25
38.64	523
38.66	507
38.68	514.5
38.7	532.5
38.72	507
38.74	560.5
38.76	554.5
38.78	589
38.8	636.75
38.82	672.75
38.84	713
38.86	697.5
38.88	702.75
38.9	713
38.92	706.75
38.94	679.5
38.96	654.5
38.98	623.75
39	599.25
39.02	582.5
39.04	562.75
39.06	549
39.08	527
39.1	512.25
39.12	513
39.14	525.25
39.16	558
39.18	565.5
39.2	566.5
39.22	586.5
39.24	601
39.26	642.75
39.28	694.5
39.3	732
39.32	795.75
39.34	872
39.36	1008.5
39.38	1139.75
39.4	1335.5
39.42	1491.25
39.44	1618.75
39.46	1724
39.48	1847.25
39.5	1817.75
39.52	1762.25
39.54	1687.75
39.56	1604.75
39.58	1499.5
39.6	1319.5
39.62	1230
39.64	1054.5
39.66	970
39.68	852
39.7	770.25
39.72	709.75
39.74	655.5
39.76	626.5
39.78	608.5
39.8	573.75
39.82	569.25
39.84	544
39.86	531
39.88	542.75
39.9	548.25
39.92	520.5
39.94	537.25
39.96	542.75
39.98	549.5
40	533
40.02	564.75
40.04	534.5
40.06	543.75
40.08	557
40.1	546
40.12	544.5
40.14	558.75
40.16	576
40.18	562
40.2	599.5
40.22	628.5
40.24	651.5
40.26	651
40.28	673
40.3	666.25
40.32	687
40.34	663
40.36	695
40.38	638.25
40.4	627
40.42	601.5
40.44	618
40.46	566.75
40.48	542.25
40.5	540.75
40.52	539
40.54	522.75
40.56	522.75
40.58	510.5
40.6	512.75
40.62	511
