Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-M.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
43.28	1226.75
43.3	1168.5
43.32	1170.75
43.34	1122.25
43.36	1077
43.38	1040.75
43.4	1033.75
43.42	1027.25
43.44	1020.75
43.46	1020.5
43.48	1000.25
43.5	983.25
43.52	1026.25
43.54	1004
43.56	1021.75
43.58	1029
43.6	1003.25
43.62	1006.75
43.64	1025.5
43.66	985.5
43.68	987
43.7	954.5
43.72	987.5
43.74	943.5
43.76	934.5
43.78	926.5
43.8	948
43.82	928.25
43.84	943.75
43.86	909.25
43.88	913
43.9	891.5
43.92	901.75
43.94	899.25
43.96	905
43.98	920
44	934.25
