Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
130,1149.00,0.001,-6.897,21.3342,2.6432,51.8284,0.0000,30.7844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3040,3.8670,0.2163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-368.819,-295.144,51.805,8.071,26.222,0.340370,0.647103,0.012527
131,1148.00,0.001,-6.909,21.8096,2.6425,51.9147,0.0000,30.7254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2352,3.9047,0.2201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-376.982,-301.727,52.954,8.253,26.805,0.343622,0.643635,0.012742
132,1147.00,0.001,-6.921,22.2787,2.6419,52.0000,0.0000,30.6671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1672,3.9419,0.2239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-385.035,-308.224,54.087,8.433,27.380,0.346831,0.640208,0.012961
133,1146.00,0.001,-6.933,22.7416,2.6413,52.0842,0.0000,30.6095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1000,3.9786,0.2278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-392.978,-314.635,55.204,8.610,27.947,0.349996,0.636822,0.013182
134,1145.00,0.001,-6.945,23.1983,2.6407,52.1675,0.0000,30.5525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0336,4.0148,0.2317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-400.811,-320.961,56.306,8.785,28.507,0.353116,0.633477,0.013406
135,1144.00,0.001,-6.957,23.6488,2.6401,52.2497,0.0000,30.4962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9679,4.0505,0.2356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-408.535,-327.202,57.392,8.957,29.059,0.356192,0.630175,0.013633
136,1143.00,0.001,-6.969,24.0931,2.6395,52.3309,0.0000,30.4406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9031,4.0857,0.2397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-416.150,-333.357,58.463,9.128,29.603,0.359223,0.626914,0.013863
137,1142.00,0.001,-6.982,24.5313,2.6390,52.4110,0.0000,30.3858,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8392,4.1203,0.2437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-423.656,-339.428,59.519,9.296,30.140,0.362208,0.623696,0.014095
138,1141.00,0.001,-6.994,24.9633,2.6384,52.4901,0.0000,30.3316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7760,4.1545,0.2478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-431.054,-345.415,60.559,9.461,30.669,0.365148,0.620521,0.014331
139,1140.00,0.001,-7.006,25.3893,2.6379,52.5681,0.0000,30.2781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7137,4.1881,0.2520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-438.345,-351.318,61.583,9.625,31.191,0.368042,0.617389,0.014568
140,1140.00,0.001,-7.006,25.3893,2.6379,52.5681,0.0000,30.2781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7137,4.1881,0.2520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-438.345,-351.318,61.583,9.625,31.191,0.368042,0.617389,0.014568
141,1139.00,0.001,-7.018,25.8092,2.6373,52.6451,0.0000,30.2253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6522,4.2212,0.2562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-445.528,-357.138,62.593,9.786,31.705,0.370890,0.614301,0.014809
142,1138.00,0.001,-7.031,26.2230,2.6368,52.7209,0.0000,30.1733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5915,4.2538,0.2604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-452.605,-362.874,63.587,9.945,32.211,0.373693,0.611256,0.015052
143,1137.00,0.001,-7.043,26.6308,2.6362,52.7957,0.0000,30.1219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5317,4.2859,0.2647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-459.576,-368.528,64.567,10.102,32.710,0.376448,0.608255,0.015297
144,1136.00,0.001,-7.055,27.0327,2.6357,52.8694,0.0000,30.0713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.4728,4.3174,0.2690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-466.442,-374.099,65.531,10.256,33.202,0.379158,0.605297,0.015545
145,1135.00,0.001,-7.067,27.4286,2.6352,52.9420,0.0000,30.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.4147,4.3484,0.2734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-473.203,-379.589,66.480,10.409,33.686,0.381821,0.602384,0.015795
146,1134.00,0.001,-7.080,27.8185,2.6347,53.0135,0.0000,29.9723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.3575,4.3789,0.2778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-479.859,-384.997,67.414,10.559,34.163,0.384438,0.599514,0.016047
147,1133.00,0.001,-7.092,28.2026,2.6342,53.0839,0.0000,29.9239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.3011,4.4089,0.2823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-486.412,-390.324,68.334,10.706,34.632,0.387009,0.596689,0.016302
148,1132.00,0.001,-7.105,28.5809,2.6337,53.1532,0.0000,29.8762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2456,4.4383,0.2868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-492.862,-395.571,69.239,10.852,35.094,0.389533,0.593908,0.016559
149,1131.00,0.001,-7.117,28.9533,2.6332,53.2214,0.0000,29.8292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1909,4.4672,0.2913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-499.209,-400.738,70.129,10.995,35.550,0.392011,0.591170,0.016818
150,1130.00,0.001,-7.129,29.3200,2.6328,53.2886,0.0000,29.7830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1371,4.4955,0.2959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-505.456,-405.826,71.004,11.137,35.997,0.394443,0.588477,0.017080
151,1130.00,0.001,-7.129,29.3200,2.6328,53.2886,0.0000,29.7830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1371,4.4955,0.2959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-505.456,-405.826,71.004,11.137,35.997,0.394443,0.588477,0.017080
152,1129.00,0.001,-7.142,29.7471,2.6323,53.3591,0.0000,29.7341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0803,4.5244,0.3021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-512.739,-411.747,72.027,11.301,36.519,0.396923,0.585638,0.017439
153,1128.00,0.001,-7.154,30.1528,2.6318,53.4276,0.0000,29.6865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0251,4.5526,0.3082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-519.652,-417.373,72.996,11.457,37.015,0.399336,0.582880,0.017784
154,1127.00,0.001,-7.167,30.5496,2.6313,53.4950,0.0000,29.6398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9708,4.5802,0.3142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-526.410,-422.877,73.944,11.610,37.499,0.401699,0.580168,0.018133
155,1126.00,0.001,-7.179,30.9379,2.6309,53.5612,0.0000,29.5938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9174,4.6072,0.3204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-533.017,-428.263,74.870,11.760,37.973,0.404014,0.577501,0.018485
156,1125.00,0.001,-7.192,31.3178,2.6304,53.6263,0.0000,29.5485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8649,4.6337,0.3266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-539.479,-433.534,75.775,11.906,38.437,0.406282,0.574879,0.018840
157,1124.00,0.001,-7.204,31.6896,2.6300,53.6903,0.0000,29.5040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8132,4.6596,0.3328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-545.799,-438.693,76.660,12.049,38.890,0.408502,0.572301,0.019198
158,1123.00,0.001,-7.217,32.0535,2.6295,53.7533,0.0000,29.4602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7624,4.6850,0.3391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-551.980,-443.743,77.526,12.190,39.334,0.410675,0.569766,0.019559
