0: 15D-TMTE-TiO2,1:15D-ILM-TiO2,2:15D-Temps,3:15D-NNO,4:21A-TMTE-TiO2,5:21A-ILM-TiO2,6:21A-temps,7:21A-NNO,8:19i-TMTE-TiO2,9:19i-ILM_bottom-TiO2,10:19i-ILM_top-TiO2,11:19i-temps_bottom,12:19i-NNO_bottom,13:19i-temps_top,14:19i-NNO_top,15:3D-TMTE-TiO2,16:3D-ILM-TiO2,17:3D-temps,18:3D-NNO,19:21F-TMTE-TiO2,20:21F-ILM-TiO2,21:21F-temps,22:21F-NNO,23:19G-TMTE,24:19G-ILM,25:19G-Temps,26:19G-NNO,27:19H-TMTE31,28:19H-TMTE32,29:19H-ILM,230:19H-31-temps,31:19H-31-NNO,32:19H-32-temps,33:19H-32-NNO,34:15D-TMTE-TiO2,35:15D-ILM-TiO2
0.00,0.00,0,0.00,0.00,0.00,776.9767394,0.344999931,0.00,0.00,0.00,0,0,824.4189341,0.631310379,0.00,0.00,788.8600733,0.430217658,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.38,0.00
0.00,0.00,0,0.00,0.00,0.00,783.1886922,0.320179259,0.00,0.00,0.00,0,0,801.7468132,0.709708765,0.00,0.00,784.8556203,0.449198933,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.30,0.00
0.00,0.00,0,0.00,0.00,0.00,781.5295784,0.326467113,0.00,0.00,0.00,0,0,803.4491779,0,0.00,0.00,786.2461103,0.443011184,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.10,0.00
0.00,0.00,0,0.00,0.00,0.00,779.8098337,0.337136415,0.00,0.00,0.00,0,0,798.694915,0,0.00,0.00,786.815139,0.440075221,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.37,0.00
0.00,0.00,0,0.00,0.00,0.00,784.3424798,0.321908938,0.00,0.00,0.00,0,0,810.2753,0,0.00,0.00,791.3474334,0.429727094,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.28,0.00
0.00,0.00,0,0.00,0.00,0.00,785.336904,0.316890315,0.00,0.00,0.00,0,0,798.2211512,0,0.00,0.00,785.4131028,0.449504437,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.17,0.00
0.00,0.00,0,0.00,0.00,0.00,784.9488198,0.326323125,0.00,0.00,0.00,0,0,798.1350203,0,0.00,0.00,784.9362056,0.451113132,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.28,0.00
0.00,0.00,0,0.00,0.00,0.00,783.8842149,0.325998674,0.00,0.00,0.00,0,0,804.3491801,0,0.00,0.00,788.4465548,0.445192927,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.29,0.00
0.00,0.00,0,0.00,0.00,0.00,780.7727659,0.332193248,0.00,0.00,0.00,0,0,796.209956,0,0.00,0.00,787.9805034,0.436986361,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.05,0.00
0.00,0.00,0,0.00,0.00,0.00,779.5911911,0.332750267,0.00,0.00,0.00,0,0,797.3780951,0,0.00,0.00,788.2515025,0.440545644,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.12,0.00
